user_name,user_url,comment
范泊远,http://p4.music.126.net/8YZO3I-7QSqU5LwTnWnLsA==/109951165716057695.jpg,以前最爱说想要带你去看星辰大海 到后来才发现 原来你就是我的星辰大海 看一眼你便足够❤️
__所以你睡了没_,http://p4.music.126.net/7T3jLCSWjU1-9b-YFh4cYA==/109951165738338921.jpg,“我们都会成为那个当年连坐公交车都会紧张的女孩 变成现在淡定自若的穿梭在各个城市之间的女孩” [色]
黄霄雲Ghost,http://p3.music.126.net/x_q3YrA7-fUJlcwRAgQ3GQ==/109951166686000051.jpg,谢谢大家❤️感恩歌手，希望有机会能够演绎的更好，对得起这首爱了很久的我们的爱
RBQ心雨,http://p3.music.126.net/KzPF6tOY3GMTtSDdfeL4LQ==/109951166476405085.jpg,从今天开始我们都是列车长了！
范泊远,http://p3.music.126.net/8YZO3I-7QSqU5LwTnWnLsA==/109951165716057695.jpg,“回忆如泡沫 苦痛是枷锁 你拥抱着我就挣脱”温柔的叙说 眼泪慢慢落下 一句话也说不出 有的只是仅仅相拥🍷
黄霄雲Ghost,http://p4.music.126.net/x_q3YrA7-fUJlcwRAgQ3GQ==/109951166686000051.jpg,感恩大家用心倾听 ❤️❤️❤️
VicetoneMusic,http://p3.music.126.net/kD9PJNtDT0kXoOCoII29rQ==/109951167135307880.jpg,Hope you like our new track with @黄霄雲Ghost and @Willimiao [爱心][爱心] 
别烦鱼,http://p4.music.126.net/3QX4z488kMn2cZPj48ir-w==/109951168514752299.jpg,同袍一场 特来与你告别 今日一别 身归天地 来日 纵化作山巅冰雪 溪中卵石 岸边垂柳 我们 总有重逢之时
婷婷比棉花糖甜,http://p4.music.126.net/SrvOb7S_lqoK629DFFjjgg==/109951166220157802.jpg,“什么时候觉得情敌越多越好”“当他们说我爱中国的时候”
洛金锋,http://p3.music.126.net/MlvdtpkA80HCufUQvk5c-A==/109951168045356568.jpg,汪峰：考中央音乐学院（给你写推荐信）林俊杰：我想要认识你张靓颖：我也想要认识你萧敬腾：天份的歌者华晨宇：未来非常非常顶尖的歌手键盘侠：没感情 只会炫技 快淘汰吧你们品 细品[西西疑问]
-艾华斯-,http://p3.music.126.net/0KLHsuT45QctIeuwKNG3_A==/109951163908406016.jpg,懂了，BOSS听到了BOSS战的BGM被吓跑了，mhy现在正在想办法把BOSS捉回来，请耐心等待
Spinnin_Y,http://p4.music.126.net/kJjJbA2ht0KLvKL9_o-ZcQ==/109951165712842203.jpg,CORSAK电吉他那段真的太有个性了，相比如今听了很多花里胡哨的drop，才发现Sad Sometimes简直就像桃花源，返璞归真，让人心旷神怡！（真的好爱这首歌的drop🥰）
爱吃小龙虾的dragon,http://p4.music.126.net/SZ2lynyWaZ3FKUopmYDXhA==/109951165303071259.jpg,黄霄雲什么风格都可以啊！和v神的合作很棒诶～
帐号已注销,http://p4.music.126.net/SUeqMM8HOIpHv9Nhl9qt9w==/109951165647004069.jpg,如果你突然有了想学习的念头，那是未来的你向你发出了求救信号
与许书,http://p4.music.126.net/rn-CgoLOF1VzvbBqA0h-8w==/109951168683698319.jpg,我死死的咬住我们之间的故事不放 好像听起来有多珍贵 多刻骨铭心 其实都是我一个人的不甘
